Hora,Dia,Temperatura,Umidade,Vento,CO,NO2
22,182,13.6,59.4,1.63,3.426,106.6
23,182,15.4,66.5,1.63,4.151,102.0
0,183,15.6,58.4,3.62,3.983,121.8
1,183,15.1,54.4,1.22,3.049,118.7
2,183,19.1,54.0,2.26,4.477,134.5
3,183,15.7,53.2,4.65,3.281,137.5
4,183,17.4,55.2,4.11,3.64,128.4
5,183,17.8,54.5,5.97,3.748,159.6
6,183,22.1,49.2,3.26,3.029,140.2
7,183,21.6,61.9,2.08,3.907,123.9
8,183,20.2,46.5,3.08,2.597,128.5
9,183,20.6,57.4,2.77,3.518,127.2
10,183,15.7,54.8,2.8,1.85,68.6
11,183,16.9,64.4,2.96,2.392,109.3
12,183,14.7,57.3,1.6,1.91,114.6
13,183,15.3,53.6,3.42,0.689,77.5
14,183,12.2,55.1,0.89,0.371,79.3
15,183,10.6,57.0,1.92,0.929,
16,183,11.7,50.8,2.82,0.677,53.9
17,183,11.8,52.6,0.39,2.233,62.4
18,183,8.6,48.5,4.15,1.08,41.6
19,183,10.0,52.4,0.08,1.884,83.7
20,183,8.5,57.9,4.0,1.254,77.5
21,183,6.4,59.6,1.06,2.742,82.0
22,183,12.8,46.3,2.39,2.502,59.7
23,183,14.8,54.9,3.78,3.595,115.3
0,184,15.3,58.2,6.3,3.686,103.3
1,184,12.1,55.5,3.17,3.343,123.4
2,184,16.5,51.9,0.03,4.801,119.9
3,184,13.8,53.8,4.43,3.577,138.4
4,184,21.8,50.8,2.65,3.423,138.2
5,184,17.4,51.6,3.1,4.442,117.2
6,184,22.3,54.2,3.84,3.078,165.0
7,184,21.5,65.1,0.34,3.749,141.6
8,184,17.3,51.1,3.01,2.846,130.6
9,184,16.0,53.6,2.39,2.437,133.6
10,184,17.9,54.4,4.83,1.912,113.4
11,184,14.3,52.3,4.09,0.814,101.4
12,184,14.9,61.0,0.56,2.275,85.6
13,184,12.5,44.4,4.89,1.184,81.9
14,184,8.7,54.7,3.67,0.806,44.4
15,184,6.7,62.1,0.68,0.137,56.6
16,184,10.9,55.3,3.08,0.413,79.8
17,184,8.8,53.3,4.55,1.203,40.5
18,184,8.6,59.6,1.18,0.502,49.8
19,184,11.3,61.1,5.07,1.772,36.9
20,184,12.8,57.2,0.73,1.828,72.4
21,184,10.7,52.8,1.81,2.237,88.2
22,184,11.6,58.8,1.59,2.402,94.8
23,184,14.4,53.7,5.07,3.348,96.7
0,185,11.9,60.2,2.26,,89.7
1,185,16.3,62.5,1.26,4.293,
2,185,18.2,41.5,3.67,4.269,156.5
3,185,19.5,54.7,3.99,4.124,155.6
4,185,15.0,46.8,4.0,4.026,
5,185,17.9,66.8,2.59,3.978,151.2
6,185,17.8,52.3,3.38,2.005,114.6
7,185,19.6,57.9,2.02,3.687,165.2
8,185,19.9,53.9,5.51,2.913,124.3
9,185,21.1,49.7,4.72,2.083,
10,185,16.1,50.6,4.62,0.667,81.7
11,185,14.9,63.5,4.19,1.436,99.5
12,185,16.9,59.7,3.78,1.367,112.4
13,185,13.9,65.6,1.13,0.931,67.3
14,185,14.6,55.9,3.95,0.93,85.5
15,185,11.6,58.0,3.17,1.334,55.9
16,185,7.9,56.3,4.9,1.773,58.2
17,185,7.1,56.4,4.21,0.897,59.9
18,185,6.5,52.9,3.83,1.297,77.5
19,185,11.1,57.1,0.47,1.638,62.9
20,185,12.6,52.3,2.87,2.023,83.5
21,185,14.7,57.8,2.16,,103.7
22,185,13.8,56.7,3.38,3.627,89.7
23,185,15.6,56.8,2.38,,89.0
0,186,13.2,64.4,2.59,4.63,121.0
1,186,13.4,55.8,3.69,2.984,136.7
2,186,18.6,58.2,2.35,3.531,118.1
3,186,18.8,64.6,3.18,4.637,162.8
4,186,18.9,60.9,0.72,4.932,
5,186,20.0,59.8,1.75,3.951,174.8
6,186,20.0,52.5,3.98,1.181,155.5
7,186,21.8,54.6,1.15,3.059,155.0
8,186,21.3,47.0,4.87,2.818,109.5
9,186,19.0,56.8,4.46,1.736,82.5
10,186,18.6,55.8,2.6,2.074,116.7
11,186,16.7,55.1,7.5,2.026,121.6
12,186,13.5,61.1,4.86,1.638,103.9
13,186,14.6,49.6,1.58,1.549,76.9
14,186,9.1,65.4,4.12,0.513,47.8
15,186,13.0,60.6,3.1,0.626,
16,186,7.7,57.3,1.83,1.246,94.4
17,186,10.1,56.2,1.4,1.271,53.7
18,186,7.7,60.1,4.49,1.156,
19,186,10.7,64.4,2.1,1.092,101.0
20,186,10.0,57.5,2.85,1.787,69.0
21,186,7.7,58.4,1.62,2.917,85.4
22,186,12.7,56.3,1.88,2.587,99.3
23,186,11.9,65.3,2.81,3.459,102.6
0,187,16.0,53.4,3.58,3.91,139.2
1,187,15.5,55.2,0.88,4.352,125.2
2,187,17.5,62.1,3.03,4.352,138.1
3,187,15.8,56.0,1.88,4.384,123.4
4,187,17.4,60.5,5.1,3.38,136.2
5,187,18.1,50.0,7.41,2.541,119.3
6,187,20.9,52.7,2.46,3.175,146.9
7,187,22.4,60.7,0.42,3.9,123.0
8,187,16.9,51.5,3.18,2.0,140.7
9,187,19.9,53.3,2.69,1.887,107.0
10,187,12.4,57.6,5.96,0.813,129.9
11,187,13.1,51.1,5.5,0.174,110.1
12,187,12.3,54.2,4.3,0.35,
13,187,10.2,57.5,2.12,1.371,62.9
14,187,8.6,57.7,4.02,0.17,57.3
15,187,11.5,62.9,3.4,0.1,46.3
16,187,9.5,64.9,3.36,0.548,47.9
17,187,10.2,52.7,0.66,1.587,90.5
18,187,10.6,57.4,4.59,0.345,51.2
19,187,9.9,60.4,3.16,2.201,63.2
20,187,11.2,64.2,2.85,1.484,57.6
21,187,10.6,60.4,2.1,2.439,75.2
22,187,9.4,58.6,1.81,2.77,100.7
23,187,15.0,58.8,3.48,3.134,79.2
0,188,12.9,59.5,0.38,3.836,119.8
1,188,13.5,51.3,4.18,4.074,134.9
2,188,16.2,56.1,1.42,4.146,110.4
3,188,15.8,62.6,0.09,3.942,119.4
4,188,17.5,53.7,5.73,3.866,143.9
5,188,19.6,54.8,1.71,4.02,170.8
6,188,19.8,52.9,1.92,3.272,160.8
7,188,17.1,43.3,4.7,2.862,128.5
8,188,17.4,54.9,5.78,1.987,147.0
9,188,19.7,55.6,0.7,2.165,118.1
10,188,17.5,52.2,1.57,2.436,114.4
11,188,19.5,48.4,1.68,2.021,109.4
12,188,16.4,50.7,4.4,1.504,107.6
13,188,15.0,59.3,5.46,1.095,74.1
14,188,8.8,67.2,1.38,0.359,62.6
15,188,12.0,63.3,5.12,1.125,51.3
16,188,9.6,50.4,1.94,0.805,67.3
17,188,8.1,61.8,3.5,1.411,79.1
18,188,9.4,53.9,1.09,1.487,79.8
19,188,11.1,53.8,2.82,1.974,50.3
20,188,10.7,54.5,2.83,2.354,71.8
21,188,8.8,60.9,2.53,2.911,106.6
22,188,13.0,60.9,3.58,2.165,90.1
23,188,11.5,56.1,1.49,2.647,99.2
0,189,14.3,55.3,1.67,4.146,121.6
1,189,14.6,58.0,3.66,3.97,135.6
2,189,15.9,58.1,5.01,3.406,133.4
3,189,19.0,60.2,2.97,4.299,135.6
4,189,16.1,48.7,3.76,3.06,149.8
5,189,22.6,53.3,4.14,5.458,145.5
6,189,15.2,50.1,4.25,3.804,167.9
7,189,17.5,54.5,1.57,3.486,130.4
8,189,19.0,53.2,1.83,,142.9
9,189,18.6,54.2,1.96,2.104,119.8
10,189,16.2,51.1,5.89,0.877,96.6
11,189,15.1,48.0,3.76,1.311,121.2
12,189,14.7,45.1,3.69,0.674,97.9
13,189,12.1,55.7,3.55,0.422,75.6
14,189,14.2,53.6,1.02,0.4,95.2
15,189,12.0,53.0,5.91,0.67,80.2
16,189,11.3,63.2,3.72,0.672,48.7
17,189,7.1,53.6,4.08,1.106,28.2
18,189,8.7,64.5,0.35,1.819,69.8
19,189,8.5,65.6,4.17,1.664,88.4
20,189,7.5,48.0,2.47,3.389,97.1
21,189,11.1,57.1,1.02,3.183,114.2
22,189,10.3,54.9,1.57,2.416,80.2
23,189,13.9,41.3,1.1,3.824,108.7
0,190,11.6,49.3,1.08,3.706,115.7
1,190,18.4,58.3,3.09,3.371,125.1
2,190,14.4,65.8,2.42,3.267,139.2
3,190,17.7,59.2,3.5,4.226,168.0
4,190,19.6,55.7,5.51,4.112,174.7
5,190,17.4,54.7,2.81,3.176,165.7
6,190,20.4,62.3,0.37,4.28,162.8
7,190,16.1,65.9,2.64,3.139,135.2
8,190,20.9,50.8,4.79,3.237,141.7
9,190,17.3,44.8,2.87,,139.1
10,190,15.0,45.0,5.29,1.454,111.6
11,190,14.4,62.3,3.68,2.161,95.7
12,190,15.3,55.2,0.24,0.918,82.2
13,190,11.2,57.5,3.16,2.012,105.4
14,190,9.7,48.1,3.45,0.203,63.3
15,190,9.7,53.3,4.62,0.535,64.5
16,190,7.0,56.4,5.73,0.162,54.5
17,190,12.5,57.3,4.36,0.892,46.6
18,190,7.6,55.7,3.66,2.664,74.1
19,190,10.5,51.6,4.01,1.438,58.5
20,190,9.8,53.1,2.75,2.57,69.3
21,190,8.2,63.6,0.81,2.532,68.2
22,190,11.2,57.9,3.06,3.41,97.6
23,190,14.0,58.9,3.55,3.082,112.3
0,191,13.2,51.6,1.19,3.929,136.1
1,191,17.2,40.1,4.99,4.105,
2,191,18.1,52.0,4.51,3.591,155.0
3,191,18.9,50.0,0.94,5.696,162.6
4,191,17.0,56.7,5.05,4.016,129.2
5,191,16.2,71.6,2.54,3.553,138.5
6,191,17.3,58.3,1.83,3.144,113.3
7,191,18.8,68.1,4.62,2.978,114.4
8,191,19.0,57.2,2.92,2.119,153.0
9,191,12.7,53.0,5.85,2.624,117.0
10,191,16.0,56.9,1.72,2.157,124.6
11,191,15.2,64.4,0.4,1.664,102.7
12,191,13.0,65.3,2.58,1.652,96.8
13,191,14.8,52.7,4.18,0.533,83.1
14,191,11.9,57.7,1.61,0.357,37.3
15,191,12.6,49.1,1.0,1.0,88.6
16,191,8.8,61.5,3.34,0.835,60.9
17,191,10.6,64.6,0.8,1.605,59.5
18,191,11.8,56.7,3.46,0.696,64.0
19,191,11.3,53.3,2.49,1.634,56.5
20,191,7.0,59.7,3.74,0.365,60.8
21,191,9.5,59.2,0.92,2.111,77.4
22,191,10.4,57.3,4.95,3.068,106.3
23,191,13.2,56.9,2.73,3.879,107.8
0,192,14.7,54.7,4.15,3.014,94.7
1,192,13.0,61.1,4.44,3.472,127.9
2,192,16.0,58.9,1.26,4.185,132.8
3,192,12.9,51.2,4.32,4.216,116.1
4,192,20.6,48.8,0.86,5.041,159.4
5,192,17.2,53.6,0.94,3.95,140.4
6,192,18.5,58.1,5.95,3.01,145.3
7,192,17.6,55.5,4.67,2.147,117.6
8,192,20.0,50.8,6.11,2.513,
9,192,11.2,57.9,2.44,3.035,149.3
10,192,15.8,53.6,3.15,2.434,132.0
11,192,14.5,60.1,3.79,1.422,101.9
12,192,12.5,57.9,2.98,1.215,
13,192,15.5,53.8,1.88,,92.5
14,192,9.1,58.4,1.66,0.612,71.0
15,192,11.4,63.2,3.32,0.845,49.1
16,192,9.8,54.2,1.4,1.09,69.4
17,192,11.1,58.7,1.36,1.813,84.2
18,192,7.0,57.5,3.59,1.663,75.5
19,192,7.1,60.0,2.86,1.872,70.6
20,192,11.2,53.4,4.41,1.551,78.0
21,192,10.7,57.3,2.36,2.137,76.8
22,192,7.8,63.2,2.13,2.42,104.9
23,192,11.0,52.0,3.64,3.314,125.6
0,193,14.0,49.2,1.78,2.77,88.3
1,193,16.2,48.7,2.01,4.033,144.8
2,193,14.3,49.8,2.07,4.713,175.7
3,193,10.9,59.7,2.69,4.076,149.9
4,193,18.6,47.4,5.66,3.521,155.9
5,193,15.6,53.8,0.93,3.446,133.7
6,193,14.2,58.8,4.94,3.427,136.7
7,193,12.4,58.4,4.11,2.817,134.0
8,193,19.2,52.3,5.35,2.371,123.6
9,193,17.0,55.9,7.71,1.465,96.2
10,193,15.3,56.0,5.15,1.598,108.4
11,193,17.3,53.7,4.39,1.264,112.9
12,193,14.5,54.6,1.03,1.751,78.0
13,193,15.1,66.6,1.22,1.827,93.2
14,193,7.9,61.7,3.54,0.1,68.2
15,193,9.6,69.5,0.45,0.356,57.8
16,193,5.6,55.8,3.92,1.231,73.8
17,193,7.9,57.2,0.2,1.349,70.6
18,193,7.7,51.0,4.73,0.536,49.8
19,193,9.6,53.1,2.52,2.265,89.6
20,193,9.0,66.8,3.19,2.229,84.7
21,193,10.9,54.1,1.88,3.779,120.2
22,193,12.1,66.0,0.15,3.16,95.6
23,193,16.2,48.9,4.85,3.889,106.3
0,194,12.4,51.0,5.0,2.658,103.4
1,194,12.4,54.6,2.47,4.502,150.5
2,194,16.0,54.9,3.99,4.372,136.5
3,194,15.0,60.1,2.41,4.775,147.6
4,194,20.3,56.2,3.43,4.561,181.0
5,194,17.3,52.7,4.14,3.511,123.9
6,194,16.9,54.3,3.83,2.687,142.2
7,194,16.9,53.3,5.01,2.5,133.1
8,194,18.8,49.8,3.78,1.752,119.7
9,194,16.3,50.7,3.04,1.729,104.2
10,194,14.2,60.9,1.86,2.052,105.6
11,194,17.7,45.6,2.28,1.621,97.9
12,194,11.3,64.7,4.22,0.771,95.1
13,194,11.8,54.7,0.75,0.69,91.9
14,194,11.8,52.6,4.66,0.1,39.3
15,194,6.2,61.8,2.58,0.679,47.6
16,194,9.7,64.5,1.77,1.163,73.9
17,194,6.1,63.8,1.35,0.564,66.1
18,194,9.7,59.6,4.01,1.006,38.1
19,194,6.3,63.6,2.98,2.331,87.4
20,194,10.1,48.4,5.38,2.475,78.6
21,194,11.7,53.9,1.11,2.052,90.5
22,194,12.3,51.8,2.13,3.045,82.7
23,194,12.2,62.5,2.86,4.063,92.0
0,195,12.4,54.4,1.87,3.587,111.2
1,195,13.0,60.3,3.01,3.644,120.2
2,195,18.3,57.2,3.48,4.612,136.3
3,195,15.0,51.2,3.73,,138.7
4,195,15.1,52.5,5.26,,
5,195,19.0,60.8,1.04,3.825,121.7
6,195,16.3,51.2,3.51,3.605,133.4
7,195,15.8,55.9,2.03,3.79,140.6
8,195,14.3,51.8,3.65,2.397,130.3
9,195,15.4,53.8,3.65,1.886,130.7
10,195,15.2,55.2,1.52,2.535,133.3
11,195,14.6,51.7,1.65,2.581,129.7
12,195,14.8,50.8,3.77,2.157,108.8
13,195,12.6,57.6,3.04,0.711,53.4
14,195,10.0,52.8,2.67,0.597,46.0
15,195,8.9,53.3,3.99,0.1,77.0
16,195,9.6,52.4,4.1,0.794,78.2
17,195,10.6,56.4,2.21,0.662,67.2
18,195,8.1,62.3,1.72,1.16,49.3
19,195,7.1,65.4,1.11,2.139,67.6
20,195,6.5,54.4,3.05,2.147,69.5
21,195,6.4,68.8,0.87,1.649,
22,195,11.7,51.5,3.15,3.743,106.3
23,195,12.7,61.6,4.83,2.62,130.8
0,196,13.9,52.2,2.47,3.227,104.8
1,196,13.7,51.5,2.2,3.277,140.0
2,196,18.0,50.9,6.0,3.469,116.4
3,196,15.3,55.2,5.26,3.254,110.7
4,196,18.9,57.2,1.85,3.658,157.4
5,196,17.4,58.1,3.21,2.429,130.0
6,196,16.5,50.3,3.49,3.35,162.6
7,196,18.7,49.4,3.31,3.177,162.8
8,196,17.8,50.1,5.72,3.513,136.9
9,196,16.9,54.4,3.13,2.458,145.9
10,196,15.4,54.3,3.36,1.496,96.8
11,196,13.9,51.1,4.03,0.683,81.2
12,196,17.5,56.1,4.78,1.085,106.9
13,196,13.8,67.2,4.41,1.043,59.5
14,196,11.6,54.0,3.81,0.451,69.5
15,196,9.4,55.0,0.66,0.968,87.2
16,196,10.4,59.7,2.27,1.908,92.9
17,196,8.9,54.5,4.23,0.721,51.7
18,196,7.7,61.0,3.38,0.296,68.1
19,196,7.3,54.2,4.24,1.92,53.4
20,196,8.2,66.7,5.83,1.914,63.1
21,196,2.8,60.9,1.23,1.483,77.1
22,196,10.6,53.7,4.71,2.962,100.3
23,196,10.4,53.9,2.5,2.781,84.3
0,197,15.7,52.7,4.4,3.828,146.2
1,197,13.9,62.7,2.94,4.782,107.4
2,197,12.7,49.9,6.19,3.423,130.0
3,197,16.0,51.9,3.2,4.486,149.0
4,197,14.8,52.8,2.04,3.253,112.3
5,197,18.3,54.4,3.63,2.902,157.9
6,197,18.1,53.2,3.49,4.376,142.7
7,197,19.3,46.8,4.71,3.103,141.5
8,197,15.3,53.4,3.67,2.786,138.8
9,197,16.1,54.7,6.71,2.392,103.3
10,197,12.3,53.2,2.83,1.38,92.7
11,197,15.2,58.9,2.85,1.879,130.0
12,197,13.6,60.5,2.09,1.544,94.4
13,197,12.2,55.9,3.13,0.222,34.0
14,197,10.0,58.1,3.35,1.425,74.7
15,197,9.8,46.2,3.42,1.337,71.7
16,197,11.4,54.5,3.1,0.286,60.2
17,197,7.1,62.9,2.09,1.139,32.4
18,197,7.8,55.5,1.68,1.297,62.5
19,197,5.5,54.7,2.44,2.286,61.4
20,197,6.5,69.4,4.71,1.076,68.1
21,197,9.2,66.3,5.04,4.077,107.1
22,197,12.2,58.7,2.88,2.924,
23,197,10.7,62.5,1.59,3.756,130.9
0,198,11.9,45.3,2.88,4.263,155.5
1,198,12.8,52.2,6.14,3.359,104.4
2,198,13.8,53.5,4.5,3.681,126.1
3,198,16.5,53.9,3.83,3.656,148.9
4,198,13.7,53.4,4.44,3.131,135.4
5,198,19.8,41.3,5.31,3.702,105.2
6,198,16.0,57.1,1.27,3.417,141.3
7,198,18.6,57.1,2.41,2.892,156.4
8,198,14.2,63.8,2.21,2.332,108.4
9,198,17.2,50.9,3.88,2.442,128.9
10,198,16.2,50.8,3.24,1.4,80.4
11,198,14.4,42.3,4.13,1.175,112.6
12,198,10.4,55.4,2.24,1.482,98.4
13,198,11.6,61.0,5.06,0.767,71.4
14,198,7.5,54.7,2.9,0.1,59.7
15,198,8.3,68.2,4.04,0.534,41.6
16,198,10.1,55.7,4.79,0.911,78.2
17,198,9.1,58.0,4.67,1.374,52.8
18,198,7.4,51.0,3.54,0.827,65.8
19,198,5.6,59.8,4.23,1.121,47.8
20,198,9.3,47.3,5.61,1.487,101.9
21,198,8.9,60.8,3.77,2.063,102.8
22,198,5.2,62.1,1.91,2.961,125.7
23,198,12.6,63.0,3.87,3.551,140.6
0,199,12.1,51.3,2.94,4.101,111.5
1,199,15.9,56.0,0.52,4.126,115.8
2,199,12.5,59.1,3.69,3.052,155.9
3,199,9.4,59.4,3.17,,138.6
4,199,17.1,50.5,4.73,3.793,156.4
5,199,17.6,42.8,1.87,3.833,
6,199,13.8,57.6,0.74,2.785,128.8
7,199,15.1,54.7,3.25,2.786,149.3
8,199,22.0,50.6,3.57,2.219,98.6
9,199,15.1,59.3,3.14,2.364,136.6
10,199,16.2,54.9,3.03,1.602,118.9
11,199,12.2,49.7,1.4,1.201,91.8
12,199,8.0,47.9,2.79,0.1,81.4
13,199,10.6,51.2,2.48,1.365,88.6
14,199,9.2,69.2,4.61,0.37,72.3
15,199,7.9,61.3,3.57,0.614,75.3
16,199,7.6,58.7,2.58,0.423,46.0
17,199,7.9,56.7,5.59,0.1,92.5
18,199,6.9,56.7,2.6,1.009,57.0
19,199,4.8,64.4,3.84,1.216,61.2
20,199,8.8,54.9,2.75,2.243,105.6
21,199,4.8,61.5,5.45,1.835,49.7
22,199,5.6,56.6,3.13,2.296,117.0
23,199,12.4,66.0,3.17,2.559,99.2
0,200,13.0,59.8,2.79,3.66,108.6
1,200,13.2,62.3,3.29,3.362,104.6
2,200,11.7,53.6,4.8,4.266,118.6
3,200,14.2,61.0,4.27,3.821,134.3
4,200,15.8,53.7,3.04,4.102,151.2
5,200,13.7,56.4,5.55,3.113,149.4
6,200,15.6,63.5,4.31,3.258,146.6
7,200,18.2,49.3,2.34,2.685,128.2
8,200,19.2,55.3,0.93,2.35,149.6
9,200,14.7,57.8,2.38,2.187,163.2
10,200,16.0,57.8,3.62,2.038,137.8
11,200,9.5,54.9,3.9,0.103,83.4
12,200,13.4,66.4,5.04,0.652,94.1
13,200,9.1,50.8,1.36,1.813,98.9
14,200,10.1,64.3,2.34,1.015,99.2
15,200,8.0,63.7,1.23,1.58,69.5
16,200,10.3,66.4,0.99,0.768,47.2
17,200,5.5,50.4,2.06,0.728,75.3
18,200,8.3,53.2,3.55,1.732,73.4
19,200,6.6,65.5,4.16,1.772,52.1
20,200,7.4,48.4,1.58,2.094,85.5
21,200,8.1,49.5,1.79,1.916,105.5
22,200,7.8,55.2,0.33,3.625,90.8
23,200,10.7,57.7,3.32,,103.5
0,201,11.7,64.4,1.9,2.873,109.2
1,201,13.6,55.0,5.49,4.264,140.6
2,201,14.5,52.6,3.61,3.63,130.2
3,201,17.0,56.5,2.74,3.875,157.0
4,201,18.0,56.9,2.04,4.166,151.6
5,201,14.6,57.8,0.76,3.161,155.8
6,201,18.6,53.5,0.95,3.627,135.5
7,201,14.3,45.9,2.07,2.16,112.2
8,201,17.4,50.2,1.95,,130.7
9,201,16.6,62.1,1.5,3.479,115.8
10,201,10.5,57.8,3.57,1.163,112.8
11,201,13.3,54.4,3.77,1.197,69.5
12,201,10.9,62.3,2.31,0.993,83.1
13,201,9.1,51.6,5.9,0.927,77.2
14,201,12.1,55.3,0.38,1.27,62.0
15,201,7.0,58.6,3.09,1.037,64.6
16,201,5.9,56.0,2.67,0.443,58.5
17,201,7.2,58.3,2.17,1.249,82.6
18,201,8.2,56.6,1.95,0.1,35.4
19,201,6.8,51.0,2.99,1.916,75.5
20,201,9.9,57.9,2.66,1.548,77.8
21,201,9.4,50.5,2.41,2.384,82.3
22,201,5.0,59.3,1.05,3.206,89.6
23,201,9.5,64.0,0.57,2.66,81.7
0,202,10.6,55.4,2.57,4.079,149.3
1,202,14.0,50.0,2.4,3.825,127.1
2,202,9.0,56.7,2.7,4.402,134.3
3,202,20.3,49.7,2.84,3.747,
4,202,17.1,57.8,2.22,3.06,139.9
5,202,16.8,54.2,2.68,3.669,183.8
6,202,19.1,62.8,1.72,3.885,127.6
7,202,21.2,59.4,5.29,3.324,138.7
8,202,17.8,53.9,1.8,2.212,107.5
9,202,17.1,58.4,2.44,1.481,114.2
10,202,14.5,53.7,1.91,1.688,110.0
11,202,12.7,56.4,1.89,1.696,97.9
12,202,10.8,55.0,3.04,1.205,92.9
13,202,8.8,61.2,2.85,1.51,81.2
14,202,7.8,64.8,2.31,0.475,68.1
15,202,5.5,62.4,2.57,0.1,48.4
16,202,7.2,62.4,1.92,1.435,90.0
17,202,3.5,63.6,3.6,0.803,42.4
18,202,7.1,60.6,6.08,1.077,64.0
19,202,6.8,52.3,1.69,2.099,54.1
20,202,7.7,66.2,3.59,2.585,67.3
21,202,7.1,66.9,3.07,2.357,71.4
22,202,15.4,54.2,4.0,3.644,99.5
23,202,13.1,54.2,4.05,3.538,110.2
0,203,9.1,60.3,3.31,3.056,94.0
1,203,13.3,58.8,2.94,3.683,118.4
2,203,12.8,55.1,2.35,4.213,122.3
3,203,13.1,49.8,1.85,3.578,121.5
4,203,13.2,57.6,2.85,4.15,164.5
5,203,17.2,57.6,1.07,3.943,127.5
6,203,15.2,59.1,2.11,3.549,
7,203,18.3,56.3,4.66,3.626,170.7
8,203,17.9,53.3,3.15,2.827,152.3
9,203,17.8,59.6,4.34,2.174,129.3
10,203,12.3,56.6,5.2,1.367,108.4
11,203,13.8,53.5,2.73,1.339,112.2
12,203,12.8,55.3,3.31,1.203,97.6
13,203,9.3,48.5,2.55,1.463,108.2
14,203,7.5,56.8,1.78,0.393,66.9
15,203,11.2,60.1,1.57,0.595,79.8
16,203,7.7,59.4,4.26,1.267,61.8
17,203,8.0,65.2,3.31,0.675,86.2
18,203,4.9,57.2,5.77,0.966,57.2
19,203,4.3,61.2,4.46,1.016,36.9
20,203,6.1,62.1,1.9,1.203,67.2
21,203,7.8,69.4,4.26,2.381,94.1
22,203,6.9,58.6,2.54,3.337,122.8
23,203,10.2,51.7,4.83,3.007,87.4
0,204,8.0,61.8,2.27,2.695,80.8
1,204,10.4,66.2,1.42,3.863,133.8
2,204,15.2,53.8,1.81,3.701,139.0
3,204,16.1,59.4,1.88,2.774,107.8
4,204,14.9,61.7,1.74,3.865,139.7
5,204,14.2,60.8,2.14,3.863,143.3
6,204,14.3,56.3,4.29,3.687,159.2
7,204,15.5,51.9,5.69,3.538,138.2
8,204,17.0,54.5,1.0,3.146,130.9
9,204,16.8,57.3,4.9,2.497,127.9
10,204,12.9,60.7,2.28,1.086,85.2
11,204,10.4,58.6,3.52,1.968,136.0
12,204,11.9,54.5,0.52,1.916,113.2
13,204,8.4,60.2,3.79,0.431,66.0
14,204,7.8,61.9,0.01,1.234,60.6
15,204,10.5,58.7,3.47,1.003,53.2
16,204,8.7,53.2,3.39,1.499,77.8
17,204,6.9,57.0,3.29,0.83,44.2
18,204,3.8,63.6,1.9,0.819,54.4
19,204,7.0,51.0,3.82,1.265,38.3
20,204,9.2,46.8,3.59,2.478,86.9
21,204,7.1,65.4,2.69,1.446,81.9
22,204,11.6,59.1,4.01,1.368,75.9
23,204,12.7,59.2,2.86,3.805,113.2
0,205,14.6,50.3,3.79,3.748,129.4
1,205,13.1,59.7,2.81,3.813,128.4
2,205,14.9,56.9,3.33,3.258,139.3
3,205,17.6,46.8,3.86,3.104,114.7
4,205,16.4,62.2,2.4,3.598,147.6
5,205,15.1,56.3,1.15,3.928,151.2
6,205,15.3,53.4,3.41,2.942,157.5
7,205,16.5,53.2,4.78,3.254,142.0
8,205,13.0,46.0,3.45,1.897,123.5
9,205,14.5,58.6,3.48,1.797,110.8
10,205,15.9,56.5,2.94,2.166,139.0
11,205,8.1,56.6,4.11,0.798,60.4
12,205,14.3,62.1,2.72,1.017,97.8
13,205,12.2,49.4,2.32,0.626,78.2
14,205,7.8,54.7,4.66,0.1,63.2
15,205,8.8,53.1,2.2,0.93,63.1
16,205,6.9,56.5,4.33,0.82,61.4
17,205,8.9,57.7,4.66,0.981,68.0
18,205,8.2,59.7,3.85,0.906,47.1
19,205,3.6,57.2,1.13,1.51,68.1
20,205,8.1,53.2,3.04,2.826,87.5
21,205,7.3,66.2,2.7,1.703,61.5
22,205,8.9,69.4,2.26,3.85,
23,205,8.5,58.2,3.21,3.162,109.2
0,206,14.6,51.8,4.15,3.485,102.9
1,206,14.4,63.0,2.31,4.396,113.9
2,206,12.1,49.1,2.74,2.795,110.8
3,206,11.9,54.7,2.64,4.488,148.1
4,206,14.6,52.1,4.75,4.518,150.0
5,206,16.8,49.2,2.61,4.23,172.2
6,206,16.5,53.6,1.15,2.472,129.2
7,206,18.4,50.2,0.64,3.694,132.6
8,206,17.0,55.0,3.54,3.388,149.7
9,206,16.5,55.2,1.86,3.093,117.4
10,206,14.2,52.6,4.0,0.919,92.3
11,206,9.6,55.3,1.0,1.877,94.9
12,206,10.7,55.6,2.19,1.95,54.5
13,206,11.9,60.5,1.0,1.08,91.5
14,206,8.5,56.7,3.65,0.1,80.1
15,206,8.5,61.6,3.97,0.978,82.3
16,206,6.1,61.1,3.51,1.148,93.8
17,206,4.2,61.6,1.37,0.893,82.6
18,206,5.8,65.2,1.88,0.697,52.0
19,206,6.9,52.3,3.35,2.042,88.1
20,206,5.4,56.0,0.47,1.769,70.2
21,206,7.1,66.7,2.64,2.607,78.5
22,206,6.7,56.7,5.28,3.274,86.4
23,206,12.0,42.3,2.73,2.507,93.3
0,207,10.3,55.9,0.77,4.155,126.5
1,207,15.1,56.1,2.09,3.872,150.2
2,207,16.5,42.0,2.05,4.026,146.2
3,207,14.3,62.4,6.21,3.816,127.8
4,207,13.2,52.5,5.5,3.058,120.9
5,207,11.6,58.2,4.1,2.691,
6,207,13.0,55.0,2.49,2.318,146.7
